Vestibule,a small entryway between the outer door and the interior of a building
Vesuviate,to erupt; explode; fulminate
Vetanda,taboo or forbidden things or topics
Vicennial,happening every twenty years
Viceroy,governor; representative of a sovereign
Vicissitudes,changes of circumstances of fortune
Victuals,food to be eaten; provisions; food cache; pabulum; comestibles; nutrients
Vignette,a sketch; brief literary or visual event; description; tableau
Villain,dramatic or fictional character who is typically at odds with the hero
Vinyl,a type of multi-use plastic resin
Viola,a musical instrument having similar qualities and appearance to a violin
Violet,a shade of deep purple
Violin,a stringed instrument played with a bow
Viridian,a type of blue-green pigment
Visceral,pertaining to the viscera; relating to deep emotions as opposed to the intellect
Vista,view; prospect; perspective; spectrum of peripheral boundaries
Visurient,hungry for visual stimuli; pertaining to the desire evoked from vision
Vivacity,brio; esprit; alacrity
Vivify,to invigorate; revive; energize; galvanize
Vivisepulture,the act of being buried alive or burying alive
Vociferous,loud; stentorian; vehement; angrily impassioned
Wan,pallid; of a sickly complexion
Warble,trill; croon; purr; chirrup
Weather,state of the atmosphere at a given time and place
Whilom,formerly; former; erstwhile
Whimsy,quaint or fanciful idea; a whim; capricious humor or playful disposition
Whisper,soft speech produced without full voice; something uttered very softly
Winceyette,cotton cloth; cloth made of cotton that has a raised surface
Winnow,to filter out; to remove unnecessary or undesirable parts
Xenodochial,friendly or especially kind to strangers or foreigners
Xenoglossy,language learned spontaneously and without prior knowledge
Xysti,pl. covered portico of a gymnasium
Zenith,point on the celestial sphere that is above the observer; highest point; maximum
Zephyr,slight burst of gentle wind; gentle breeze
Zyzzyva,a type of weevil
